"Number of tokens" File
3 UBB_07084c540782ab701411e0112d5706e4.txt
3 UNIPU_0024203995e9bc761e63bd2455d2e99b.txt
3 UNIPU_004c734e17b2e7e9189c90a7fe7f2336.txt
3 UNIPU_041adafdd45d9a460a46258cf2feeeb8.txt
3 UNIPU_067b8facb067bbac0201888c4218194e.txt
3 VND_07563a3fe3bbe7e3ba84431ad9d055af.txt
3 VND_07e1cd7dca89a1678042477183b7ac3f.txt
3 VND_0a09c8844ba8f0936c20bd791130d6b6.txt
4 AUSONIUS_0045ce1436fb7d7ecd8f39e2447f3f5f.txt
4 AUSONIUS_00adf647a10006521bf9d49cd47dfcbf.txt
4 AUSONIUS_01e5dfc2d683f9117fa375883a8205b5.txt
4 AUSONIUS_03b8bf3ef3d926384ec423d1687ed4c0.txt
4 AUSONIUS_049ee38e26e6d9fd3d84b896165c45c1.txt
4 AUSONIUS_04bb3eef1b069233e128f38d446a434e.txt
4 EDB_0007789b118e4710fc0e7c8758a6532a.txt
4 EDB_0029f088c57ad3b6ec589f9ba4f7a057.txt
4 EDB_003bed21fddc817050c8fa11897fe660.txt
4 EDH_0016fe79b5875cab5bfebd54880974fb.txt
4 EDH_001d702611fdef6b70da1cd01471d29b.txt
4 EDR_00042682fe62a577d20cc37902826ab7.txt
4 EDR_00066d21a523a636bac6ac088e312f2f.txt
4 EDR_0009acada9e2e317f1cca70bb6495edf.txt
4 EDR_000a2fec1eaab3353777881807ea509c.txt
4 EDR_00130c449bc314a885e5273273fb2740.txt
4 ELTE_00ac3c5fe2ce49b66f735f2521a40a43.txt
4 ELTE_05186e3b71f8d2a208118b1b85dfc641.txt
4 IMJ_af4fc3bc1d54755da5cac653f5cadb2e.txt
4 RIB_01386bd6d8e091c2ab4c7c7de644d37b.txt
4 RIB_03f544613917945245041ea1581df0c2.txt
4 SAZU_1d2d46306263aa426c036c07038566c1.txt
4 UAH_00254d816728ef385187c60b08cb5c10.txt
4 UBB_0047cee8a8fddca16fd3997ead813ad0.txt
4 UBB_0063462f449dc73de3d120442ebb4a06.txt
4 UBB_018588f2c8bcd62eb0ea3c3e091da583.txt
4 UBB_04ef036d9f624b2672769645dc9e9bf8.txt
4 UNIPU_03ea2afeff7101bfa3090afe016e6a05.txt
4 UNIPU_05d83f561c7987ba91872bffa9d08e3a.txt
4 UNIPU_05e2514506ce3be60ce373b627812aa7.txt
4 VND_05049e90fa4f5039a8cadc6acbb4b2cc.txt
4 VND_06409663226af2f3114485aa4e0a23b4.txt
4 VND_06997f04a7db92466a2baa6ebc8b872d.txt
4 VND_087408522c31eeb1f982bc0eaf81d35f.txt
5 AUSONIUS_048b353a9f5d78f37f714b558260f7d8.txt
5 AUSONIUS_076667221d81e4e239b2f5a498c912fd.txt
5 BSR_03b8fd0e629fa6d9783155983c4a651e.txt
5 EDB_00106ac9184e7d54b570d0f0cb0c38b2.txt
5 EDH_00238636278a20122af4a1963b5bf616.txt
5 EDR_0004e6b0269858579c98938cda987af4.txt
5 EDR_00191564936933b36d17a602ee283e6a.txt
5 ELTE_0e2a9684c8885bc435c66d3e58756bba.txt
5 RIB_0004d0b59e19461ff126e3a08a814c33.txt
5 RIB_0070d23b06b1486a538c0eaa45dd167a.txt
5 RIB_00ac8ed3b4327bdd4ebbebcb2ba10a00.txt
5 RIB_00e26af6ac3b1c1c49d7c3d79c60d000.txt
5 RIB_04025959b191f8f9de3f924f0940515f.txt
5 SAZU_149e496500cb982f92eedc9ef1679905.txt
5 SAZU_1c29e6e51c272a25b4dc555fa67759aa.txt
5 UAH_000a91f3e374e6147d58ed1814247508.txt
5 UBB_03d66ceacbd81924eb4db39dc5264586.txt
5 UBB_051fb304ce1b4eeab4518abebfd8a200.txt
5 UNIPU_0069203a18fd2dea6319b5fbe66e4006.txt
5 UNIPU_0131beb98be3ee11400a59a834f6809f.txt
5 UNIPU_0148d5cd1db3f61cf9b4831a6c1dc7ba.txt
5 UNIPU_019b6f6ceb390fc6a004dde4f6ca0736.txt
5 VND_013d407166ec4fa56eb1e1f8cbe183b9.txt
5 VND_07cdfd23373b17c6b337251c22b7ea57.txt
6 EDB_003af5a042e00ac9b489153a81d676ca.txt
6 EDH_000386706870a4d78b352e937b6edd77.txt
6 EDH_000af8faa14cfa3eb102a3f6f7bc0902.txt
6 EDH_001ad7524267f3329c8edb12dd3c05a9.txt
6 EDR_0001567aa61cbb67abec77f59843a99c.txt
6 EDR_00186f9ab43e35964a8ffe8697cb082e.txt
6 EDR_001e2723b731ac95a7f11313a42b3a9f.txt
6 RIB_006f52e9102a8d3be2fe5614f42ba989.txt
6 RIB_013a006f03dbc5392effeb8f18fda755.txt
6 RIB_01f78be6f7cad02658508fe4616098a9.txt
6 RIB_02522a2b2726fb0a03bb19f2d8d9524d.txt
6 RIB_04048aeca2c0f5d84639358008ed2ae7.txt
6 SAZU_0b3138cba42e5fa30533bf4f834f4e28.txt
6 UAH_00003e3b9e5336685200ae85d21b4f5e.txt
6 UAH_0004d0b59e19461ff126e3a08a814c33.txt
6 UBB_00653bda7182fa5255acd646d1056e9d.txt
6 UBB_00db8e85944bb9b4803121efb386b137.txt
6 UBB_04ca90de82aa0e62dfa658548c280d84.txt
6 UBB_05b2ed64d066ca452105954405fcaaec.txt
6 UBB_073ba011b37996a08a081432f404f518.txt
6 UBB_074c30d32623dbd926e5496995151627.txt
6 UNIPU_0098c1710000600011ec48cb2d0d9147.txt
6 UNIPU_03cca0a0848038e486e9bf91b8cba49d.txt
6 VND_05f971b5ec196b8c65b75d2ef8267331.txt
7 BSR_02fe3f5692123d9c46fc47aff240db42.txt
7 BSR_049e58bb0653d7715cc4f867864a236c.txt
7 EDB_0004d0b59e19461ff126e3a08a814c33.txt
7 EDB_002c3a40ac50dc870f1ff386f11f5bae.txt
7 EDH_000cee0eefa76636d4cce3bd1f2a5659.txt
7 EDH_001d51ac1aab52510163f344f60e9494.txt
7 EDR_001fe044b370297484c126ff4ad4a81f.txt
7 ELTE_078b6338fb975366be107533fd92bf6c.txt
7 RIB_018b59ce1fd616d874afad0f44ba338d.txt
7 RIB_0336dcbab05b9d5ad24f4333c7658a0e.txt
7 RIB_03e0704b5690a2dee1861dc3ad3316c9.txt
7 UAH_001b8e3cf76f4e64cbe5be9882db4aa0.txt
7 UBB_070fd380116ad8e1913078683d29efdf.txt
7 UNIPU_0343edf1ae528c8c5b456a706d1a78e0.txt
7 UOXF_037fdc9fbd1d465a175954f29280f8d2.txt
7 VND_0336dcbab05b9d5ad24f4333c7658a0e.txt
8 AUSONIUS_04769b142c2c03b50c91ed8554384f45.txt
8 AUSONIUS_06c9cd1ac53ae97aa1ca7b532b339327.txt
8 AUSONIUS_0bbe7131cbeb52a00b70f49ee511131b.txt
8 BSR_015ffb2bf00a7c76eb57be90329594be.txt
8 EDB_004acbc8eefec9fe0629b15f52b94bcf.txt
8 EDH_0003860bd23df00378d5e5de7dc1766b.txt
8 EDH_000604431bfce90dd61212cd81f8f5fa.txt
8 EDH_000d85bb6db133e95a443050fba10af9.txt
8 EDH_0017cce118ee88b0473ecfdbdcc4ee0a.txt
8 EDH_0018b03f6e226715c88d191d8a5aa3a2.txt
8 EDR_000f0c30a068bbed72afbf6b7f559a8a.txt
8 EDR_001465f86fc16eadc3ad0746dfafd9d9.txt
8 EDR_00228630a214b9a16eb7713c7245cea7.txt
8 RIB_00ec53c4682d36f5c4359f4ae7bd7ba1.txt
8 RIB_013d407166ec4fa56eb1e1f8cbe183b9.txt
8 RIB_01eee509ee2f68dc6014898c309e86bf.txt
8 RIB_02a32ad2669e6fe298e607fe7cc0e1a0.txt
8 RIB_0353ab4cbed5beae847a7ff6e220b5cf.txt
8 UBB_06079b0447600bebd2fe2a4fdb56cff6.txt
8 UNIPU_0083b9da59a0626870b91665aa22edb0.txt
8 UOXF_00c974becc430aa91e60b4e44e83060d.txt
8 VND_04025959b191f8f9de3f924f0940515f.txt
8 VND_060ad92489947d410d897474079c1477.txt
9 AUSONIUS_04db79b1a02d14cf773d8e8514473cdd.txt
9 AUSONIUS_0c2198fa031586f1b6f52623d8d5558f.txt
9 BSR_01509ada1ab13e8297925513f28f40a2.txt
9 BSR_0285f71519096c58d2be844dfec2f222.txt
9 BSR_032c8eec319da34ab545ffe6427f7aaa.txt
9 BSR_03736924148d402edafc885e90d6a63d.txt
9 EDB_0038c2d25686470c660de62bf5466fe3.txt
9 EDB_003fd8188c1a5913a61bba3db2c670e8.txt
9 EDB_004083e4d334ba508ba2c419fa300fd7.txt
9 ELTE_0f1ef2785083d69131ea401d34a98323.txt
9 RIB_0189caa552598b845b29b17a427692d1.txt
9 RIB_0233f3bb964cf325a30f8b1c2ed2da93.txt
9 SAZU_04832e3a9b4f1ecb0bd3fba1382b8491.txt
9 SAZU_08bd8135fe7a329aa0554b98444a2936.txt
9 SAZU_10773a120acd8c56dcac32382ceba32d.txt
9 UAH_00126b47d5502dfb7d01f750ad23d813.txt
9 UBB_032699b87bd5b5daf58920a90eee65cc.txt
9 UBB_058c818f842a941fcb81f880b4369878.txt
9 UNIPU_00a0a709d5151d4a920189e42d672e8b.txt
9 VND_077e29b11be80ab57e1a2ecabb7da330.txt
10 AUSONIUS_01bb7cd7c8e086c09dd01690220342ea.txt
10 AUSONIUS_063bd83247aa2598d8a004ee1e33d126.txt
10 AUSONIUS_07f1d7146da9875b694de78a92dc5bfe.txt
10 AUSONIUS_0c57539866e9c832f507cf8b7c2a5a98.txt
10 EDR_001602194f8093bdfc6d571288e4f8fd.txt
10 ELTE_0a083331f6257179967f4bcd9e7d800d.txt
10 RIB_00a03ec6533ca7f5c644d198d815329c.txt
10 RIB_024d7f84fff11dd7e8d9c510137a2381.txt
10 RIB_02e74f10e0327ad868d138f2b4fdd6f0.txt
10 SAZU_0f9c868393c06d29c5d7acec1dfb00fb.txt
