Historical writing;405756
Oratory;37650
Novel;86934
Erudit compilitation;128395
Letter writing;429505
Poetry;387999
Philosophy;177938
Technical writing;216176
Medicine;106135
Rhetorical writing;211593
Translation;4321
Panegyric;1382
Dialogue;11672
Comedy;55045
Christian;18355
Tragedy;12878
